一	one
峻	steep
竣	complete a job
犀	rhinoceros
皐	lunar month
畷	rice-field footpath
綴	mend
鎧	suit of armor
凱	triumph
呑	quaff
韮	leek
籤	lottery
懺	penitential
芻	hay
雛	chick
趨	scurry
尤	understandably
厖	immense
或	a  (a certain)
兎	rabbit
也	est
巴	comma-design
疋	critters
菫	violet
曼	mandala
云	quote
莫	shalt
而	and then
倭	Yamato
侠	chivalry
倦	fed up
俄	abrupt
佃	work a field
仔	animal offspring
仇	foe
伽	look after
儲	make a profit
僑	emigrant
倶	mate
侃	forthright
偲	memorial
侭	as is
脩	dried meat
倅	my son
做	make do
冴	sharp
凋	wilt
凌	pull through
凛	stately
凧	kite
凪	lull
夙	earlybird
鳳	phoenix
剽	menace
劉	slaughter
剃	shave
厭	despondent
雁	wild goose
贋	counterfeit
厨	kitchen
仄	insinuate
哨	scout
咎	reprehend
囁	whisper
喋	chatter
嘩	quarrel
噂	gossip
咳	cough
喧	clamor
叩	bash
嘘	fib
啄	peck at
吠	barking
吊	dangle
噛	chew
叶	within my ability
吻	sides of the mouth
吃	stammer
噺	spin a tale
噌	miso
邑	city walls
呆	dumbfounded
喰	ingest
埴	clay
坤	autochthonous
壕	dugout
垢	blemish
坦	flat
埠	wharf
堰	dam
堵	railing
嬰	suckling infant
姦	violate
婢	handmaiden
婉	well finished
娼	harlot
妓	courtesan
娃	fair
姪	niece
嬬	mistress
姥	aged woman
姑	mother-in-law
姐	young miss
嬉	overjoyed
孕	expecting
孜	assiduous
宥	soothe
寓	imply
宏	extensive
牢	jail
宋	Sung dynasty
宍	venison
屠	butchering
屁	fart
屑	rubbish
屡	frequently
屍	corpse
屏	folding screen
嵩	high-reaching
崚	rugged mountains
嶺	mountaintop
嵌	fit into
帖	quire
幡	banner
幟	pennant
庖	cleaver
廓	licensed quarters
庇	overhang
鷹	hawk
庄	shire
廟	tomb sanctuary
彊	strengthen
弛	loosen
粥	rice gruel
挽	lathe
撞	bump into
扮	disguise
捏	fabrication
掴	clutch
捺	impress
掻	scratch
撰	assortment
揃	muster
捌	deal with
按	press down on
播	disseminate
揖	collect
托	receptacle
捧	devote
撚	twirl
挺	counter for tools
擾	commotion
撫	petting
撒	sprinkle
擢	outstanding
摺	rubbing
捷	spoils
抉	gouge out
怯	wince
惟	ponder
惚	infatuation
怜	quickwitted
惇	considerate
恰	as if
恢	enlarge
悌	respect for elders
澪	canal
洸	glistening
滉	bounding main
漱	gargle
洲	continent
洵	swirling waters
滲	seep
洒	rinse
沐	douse
泪	teardrops
渾	gushing
涜	blaspheme
梁	roofbeam
澱	sediment
洛	old Kyoto
汝	thou
漉	filter
瀕	on the verge of
濠	moat
溌	spray
湊	port
淋	solitude
浩	abounding
汀	water’s edge
鴻	large goose
潅	souse
溢	brimming
湛	inundate
淳	immaculate
渥	moisten
灘	rough seas
汲	draw water
瀞	river pool
溜	cumulation
渕	abyss
沌	chaos
濾	strainer
濡	drench
淀	eddy
涅	black soil
斧	hatchet
爺	grandpa
猾	sly
猥	indecent
狡	cunning
狸	racoon dog
狼	wolf
狽	flustered
狗	pup
狐	fox
狛	a-un
獅	lion
狒	baboon
莨	tobacco
茉	jasmine
莉	hawthorn
苺	strawberry
萩	bush clover
藝	technique (old)
薙	trim
蓑	straw raincoat
苔	moss
蕩	prodigal
蔓	tendril
蓮	lotus
芙	lotus flower
蓉	lotus blossom
蘭	orchid
芦	hollow reed
薯	yam
菖	iris
蕉	banana
蕎	buckwheat
蕗	butterbur
茄	eggplant
蔭	behind the scenes
蓬	wormwood
芥	mustard
萌	germinate
葡	grape
萄	grape vine
蘇	resurrect
蕃	grow wild
苓	cocklebur
菰	rush mat
蒙	darken
茅	grassy reed
芭	plantain
苅	mow
葱	onion
葵	hollyhock
葺	shingling
蕊	stamen
茸	mushroom
蒔	sowing
芹	parsley
苫	thatching
蒼	pale blue
藁	straw
蕪	turnip
藷	sweet potato
薮	quack
蒜	garlic
蕨	bracken
蔚	grow plentiful
茜	madder red
莞	candle rush
蒐	collector
菅	sedge
葦	ditch reed
迪	Way
辿	track down
這	crawl
迂	detour
遁	shirk
逢	tryst
遥	far off
遼	faraway
逼	pressing
迄	until
逗	standstill
鄭	courtesy
隕	falling
隈	nook
憑	possessed
惹	attract
悉	without exception
忽	instantaneously
惣	firstborn son
愈	in the nick of time
恕	sensitive
昴	overarching
晋	progress
晟	aglow
暈	halo
暉	glitter
旱	dry weather
晏	clear skies
晨	morrow
晒	bleaching
晃	limpid
曝	air out
曙	dawn
昂	elevate
昏	dusk
晦	last day of the month
膿	pus
腑	viscera
胱	bladder
胚	embryo
肛	anus
脆	fragile
肋	rib
腔	body cavity
肱	armrest
胡	uncivilized
楓	maple tree
楊	purple willow
椋	Oriental elm
榛	hazel
櫛	comb
槌	wooden hammer
樵	mallet
梯	ladder
柑	citrus tree
杭	picket
柊	holly
柚	citron
椀	wooden bowl
栂	hemlock
柾	spindle tree
榊	sacred tree
樫	evergreen oak
槙	black pine
楢	Japanese oak
橘	mandarin orange
桧	Japanese cypress
棲	roost
栖	nestle
桔	bellflower
杜	temple grove
杷	grain rake
梶	oar
杵	wooden pestle
杖	cane
樽	barrel
櫓	turret
橿	sturdy oak
杓	wooden ladle
李	damson
棉	raw cotton
楯	escutcheon
榎	hackberry
樺	birch
槍	lance
柘	wild mulberry
梱	bale
枇	loquat
樋	downspout
橇	sled
槃	enjoyment
栞	bookmark
椰	coconut tree
檀	sandalwood
樗	sumac
槻	zelkova
椙	cryptomeria
彬	copious
桶	bucket
楕	ellipse
樒	star-anise
毬	furball
燿	twinkle
燎	watchfire
炬	torch
焚	kindle
灸	moxa
煽	fanning
煤	soot
煉	firing
燦	dazzling
灼	refulgent
烙	branding
焔	flames
烹	stew
牽	tug
牝	female animal
牡	male animal
琳	chime
琉	lapis lazuli
瑳	burnish
琢	hone
珊	coral
瑚	coral reef
瑞	fortunate
玖	jet
瑛	crystal stone
玲	tinkling
畢	lastly
畦	paddy-field ridge
痒	itch
痰	phlegm
疹	measles
痔	hemorrhoids
癌	cancer
痺	paralysis
眸	apple of the eye
眩	dizzy
雉	pheasant
矩	carpenter’s square
磐	crag
碇	grapnel
碧	blue-green
硯	inkstone
砥	grindstone
碗	teacup
碍	obstacle
碩	illustrious
磯	rocky beach
砺	whetstone
碓	mill
禦	fend off
祷	beseech
祐	ancestral tablet
祇	local god
祢	ancestral shrine
禄	salarium
禎	felicitation
秤	balancing scales
黍	millet
禿	bald
稔	bear fruit
稗	crabgrass
穣	bumper crop
稜	imperial authority
稀	sparse
穆	obeisant
窺	peep
窄	tight
穿	drill
竃	kitchen stove
竪	longness
颯	rustling
站	outpost
靖	repose
妾	concubine
衿	lapel
袷	lined kimono
袴	pleated skirt
襖	sliding door
笙	Chinese panpipe
筏	raft
簾	bamboo blinds
箪	rattan box
竿	pole
箆	spatula
箔	foil
笥	wardrobe
箭	arrow shaft
筑	ancient harp
篠	slender bamboo
纂	redaction
竺	bamboo cane
箕	winnowing fan
笈	backpack
篇	livraison
筈	should
簸	winnow
粕	settlings
糟	lees
糊	paste
籾	unhulled rice
糠	rice bran
糞	excrement
粟	foxtail millet
繋	link up
綸	twine
絨	carpet yarn
絆	ties
緋	scarlet
綜	synthesis
紐	string
紘	chinstrap
纏	summarize
絢	gorgeous
繍	embroidery
紬	pongee
綺	ornate
綾	damask
絃	catgut
縞	stripe
綬	gimp
紗	gossamer
舵	rudder
聯	strung together
聡	attentive
聘	summons
耽	addiction
耶	exclamation
蚤	flea
蟹	crab
蛋	protein
蟄	hibernation
蝿	housefly
蟻	ant
蝋	wax
蝦	shrimp
蛸	octopus
螺	screw
蝉	cicada
蛙	frog
蛾	moth
蛤	clam
蛭	leech
蛎	oyster
罫	ruled lines
袈	stole
裟	monk’s sash
截	incision
哉	I wonder
詢	counsel
諄	polite
讐	vendetta
諌	remonstrate
諒	verify
讃	compliment
訊	query
訣	split up
詫	beg another’s pardon
誼	familiarity
謬	fallible
訝	wary
諺	proverb
誹	slander
謂	so-called
諜	secret agent
註	footnote
譬	parable
轟	rumble
輔	reinforce
輻	spoke
輯	assemble
豹	panther
賎	despicable
貰	get
賑	bustling
贖	expiate
躓	stumble
蹄	hoof
蹟	vestiges
跨	straddle
跪	kneel
醤	soy sauce
醍	whey
醐	ghee
醇	strong sake
麹	malt
釦	button
銚	keg
鋤	plow
鋸	hand saw
錐	awl
鍬	hoe
鋲	rivet
錫	tin
錨	anchor
釘	nail
鑓	javelin
鋒	sword’s point
鎚	hammer
鉦	carillion
錆	rust
鍾	cluster
鋏	scissors
閃	flash
悶	agony
閤	side gate
雫	trickle
霞	haze
翰	quill
斡	auspices
鞍	saddle
鞭	whip
鞘	saddle straps
鞄	briefcase
靭	pliable
鞠	terminate
顛	overturn
穎	brush tip
頗	exceedingly
頌	accolade
頚	neck and throat
餐	repast
饗	feast
蝕	eclipse
飴	sweets
駕	stretcher
騨	piebald
馳	rush
騙	cheat
馴	tame
駁	rebuttal
駈	gallop
驢	donkey
鰻	eel
鯛	sea bream
鰯	sardine
鱒	trout
鮭	salmon
鮪	tuna
鮎	sweet smelt
鯵	horse mackerel
鱈	cod
鯖	mackerel
鮫	shark
鰹	bonito
鰍	bullhead
鰐	alligator
鮒	crucian carp
鮨	sushi
鰭	fish fin
鴎	seagull
鵬	roc
鸚	parakeet
鵡	parrot
鵜	cormorant
鷺	heron
鷲	eagle
鴨	wild duck
鳶	black kite
梟	owl
塵	dust
麒	giraffe
舅	father-in-law
鼠	mouse
鑿	bore
艘	small craft
瞑	close the eyes
暝	murky
坐	sitting in meditation
朔	first day of the month
曳	tow
洩	dribble out
彗	comet
慧	astute
爾	let it be
嘉	applaud
兇	evil
兜	helmet
靄	mist
劫	kalpa
歎	bemoan
輿	palanquin
歪	warped
翠	jade green
黛	blue-black
鼎	tripod
鹵	rocksalt
鹸	lye
虔	reserved
燕	swallow
嘗	lick
殆	almost
牌	mahjong tiles
覗	peek
齟	disagree
齬	discord
秦	Manchu dynasty
雀	sparrow
隼	peregrine falcon
耀	shimmering
夷	ebisu
嚢	cyst
暢	carefree
廻	circling
欣	elation
毅	stalwart
斯	this
匙	wooden spoon
匡	set straight
肇	founding
麿	Utamaro
叢	conglomerate
肴	entreat
斐	symmetrically patterned
卿	magistrate
翫	fiddle with
於	within
套	hackneyed
叛	rebellion
尖	sharp point
壷	crock
叡	sapience
酋	chieftain
鴬	nightingale
赫	incandescent
臥	supinate
甥	nephew
瓢	gourd
琵	biwa
琶	lute
叉	forked
乖	disobey
畠	dry field
圃	vegetable patch
丞	helping hand
亮	translucent
胤	blood relative
疏	transcription
膏	ointment
魁	pioneer
馨	ambrosial
牒	label
瞥	glimpse
睾	testicle
巫	sorceress
敦	empathetic
奎	Andromeda
翔	soar
皓	beaming
黎	tenebrous
赳	bold
已	stop short
棘	thornbush
祟	haunt
甦	resuscitate
剪	pruning
躾	upbringing
夥	plentiful
鼾	snore
陀	steeply inclined
粁	kilometer
糎	centimeter
粍	millimeter
噸	ton
哩	mile
浬	nautical mile
吋	inch
呎	foot
梵	brahman
薩	bodhisattva
菩	bo tree
唖	babble
牟	moo
迦	Sanskrit ka
珈	jeweled hairpin
琲	beaded hairpin
檜	Japanese cypress (old)
轡	tinkling bell
淵	abyss (old)
伍	V
什	X
萬	ten thousand (old)
邁	pass through
燭	candlelight
逞	tough
燈	lamp (old)
裡	back (old)
薗	park (alternate)
鋪	shop (alternate)
嶋	island (alternate)
峯	summit (alternate)
埜	plains (old)
龍	dragon (old)
寵	patronage
聾	deafness
慾	longing (old)
嶽	Point (old)
國	country (old)
脛	shin
勁	formidable
祀	enshrine
祓	exorcism
躇	dither
壽	longevity (old)
躊	hesitate
饅	bean jam
嘔	retch
鼈	snapping turtle
亙	span (old)
亨	go smoothly
伶	minstrel
佑	adjutant
佼	comely
侑	condone
俣	fork in a road
倖	bliss
傭	hire
僻	biased
卜	augury
喬	heaven-high
孟	start
尭	lofty
峨	high mountain
嵯	rocky
巌	boulder (old)
巽	southeast
彪	mottled
掟	mandate
掠	pillage
撹	churn up
梧	parasol tree
欝	depressed
欽	circumspect
煕	cheer
熔	fuse metal
珪	silicon
瑶	precious stone
甫	offspring
籠	cage (Joyo version)
聚	crowd
舘	Bldg. (old)
舜	rose of Sharon
詑	prevarication
諏	advise
躯	body (old)
郁	cultured
鏑	arrowhead
