4 kyu	mune-mochi hiji-shime (2)	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=1h38m35s#t=1h38m35s">video 1</A>
4 kyu	shomen-uchi kote-gaeshi (2)	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=2h21m40s#t=2h21m40s">video 1</A>
4 kyu	ryote-mochi tenchi-nage (1)	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=3h02m12s#t=3h02m12s">video 1</A>
4 kyu	suwari-waza ryote-mochi kokyu-ho (1)	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=3h07m46s#t=3h07m46s">video 1</A>
4 kyu	nihon-me kumite	<A href="http://www.youtube.com/watch?v=BlH8Qmo79w8&t=23m22s#t=23m22s">video 1</A>
4 kyu	katate-aya-mochi go-waza	
3 kyu	hanmi-handachi ryote-mochi shiho-nage	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=53m52s#t=53m52s">video 1</A>
3 kyu	kata-mochi sokumen irimi-nage (1)	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=13m08s#t=13m08s">video 1</A>
3 kyu	shomen-tsuki kote-gaeshi (1)	<A href="http://www.youtube.com/watch?v=vNv0rNot8FQ&t=2h32m55s#t=2h32m55s">video 1</A>
3 kyu	ryote-mochi shiho-nage (1)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=38m45s#t=38m45s">video 1</A>
3 kyu	ryote-mochi shiho-nage (2)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=40m56s#t=40m56s">video 1</A>
3 kyu	yokomen-uchi shiho-nage (1)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=42m56s#t=42m56s">video 1</A>
3 kyu	yokomen-uchi shiho-nage (2)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=45m16s#t=45m16s">video 1</A>
3 kyu	suwari-waza shomen-uchi ikkajo-osae (1)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=1h02m21s#t=1h02m21s">video 1</A>
3 kyu	suwari-waza shomen-uchi ikkajo-osae (2)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=1h05m33s#t=1h05m33s">video 1</A>
3 kyu	yokomen-uchi ikkajo-osae (1)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=1h06m55s#t=1h06m55s">video 1</A>
3 kyu	suwari-waza yokomen-uchi ikkajo-osae (1)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=1h08m38s#t=1h08m38s">video 1</A>
3 kyu	yokomen-uchi ikkajo-osae (2)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=1h10m18s#t=1h10m18s">video 1</A>
3 kyu	suwari-waza yokomen-uchi ikkajo-osae (2)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=1h11m41s#t=1h11m41s">video 1</A>
3 kyu	kata-mochi ikkajo-osae (1)	<A href="http://www.youtube.com/watch?v=i4LcdeiNH-k&t=1h31m04s#t=1h31m04s">video 1</A>
